Very Low (LM15) Simulation_0.0,Very Low (LM15) Simulation_0.1,Very Low (LM15) Simulation_0.25,Very Low (LM15) Simulation_0.5,Very Low (LM15) Simulation_0.75,Very Low (LM15) Simulation_1.0,Very Low (LM15) Simulation_5.0,Very Low (LM15) Simulation_10.0,Low (LM14) Simulation_0.0,Low (LM14) Simulation_0.1,Low (LM14) Simulation_0.25,Low (LM14) Simulation_0.5,Low (LM14) Simulation_0.75,Low (LM14) Simulation_1.0,Low (LM14) Simulation_5.0,Low (LM14) Simulation_10.0,Medium (LM18) Simulation_0.0,Medium (LM18) Simulation_0.1,Medium (LM18) Simulation_0.25,Medium (LM18) Simulation_0.5,Medium (LM18) Simulation_0.75,Medium (LM18) Simulation_1.0,Medium (LM18) Simulation_5.0,Medium (LM18) Simulation_10.0,High (LM19) Simulation_0.0,High (LM19) Simulation_0.1,High (LM19) Simulation_0.25,High (LM19) Simulation_0.5,High (LM19) Simulation_0.75,High (LM19) Simulation_1.0,High (LM19) Simulation_5.0,High (LM19) Simulation_10.0,Time (hr)
0.0,2.936332259021395e-11,1.3822410093697088e-10,3.6832932690973794e-10,5.887665689486058e-10,7.802079555821611e-10,1.8915252280511906e-09,2.179362924682453e-09,0.0,1.1344852461370584e-10,5.510735067973163e-10,1.52133536878548e-09,2.4897998599249135e-09,3.355183663018866e-09,8.716531562275723e-09,1.0182965614645458e-08,0.0,1.6982617547579793e-10,8.286354954651971e-10,2.2999662437554497e-09,3.777854103493675e-09,5.104346810606914e-09,1.3411279650761096e-08,1.570409778378313e-08,0.0,2.1836523564719887e-10,1.0717460833219673e-09,2.995103393696133e-09,4.942781144875956e-09,6.7010431787813735e-09,1.786520605307212e-08,2.098336962707809e-08,20.014295925661187
0.0,4.3802924887435345e-11,2.0589989314700707e-10,5.47740006984316e-10,8.74582104654344e-10,1.1580586859952326e-09,2.7989441751467294e-09,3.2229623128275734e-09,0.0,1.7241290862931805e-10,8.369082345099368e-10,2.3085638969928785e-09,3.776101519359733e-09,5.086575886975132e-09,1.3194280656389439e-08,1.5409555551433034e-08,0.0,2.6036998420516937e-10,1.269731102436526e-09,3.5218512906425253e-09,5.782242518817837e-09,7.810002671791223e-09,2.0494111878869568e-08,2.3992153720456512e-08,0.0,3.36642481835544e-10,1.651581465525897e-09,4.6132035877713705e-09,7.610590257891724e-09,1.031538536540617e-08,2.747644125064933e-08,3.226693526660683e-08,21.015010721944247
0.0,6.375106469805558e-11,2.9927710131687534e-10,7.949309865351259e-10,1.2679851467753652e-09,1.6777822867156554e-09,4.043601062468266e-09,4.6536280552791035e-09,0.0,2.5532544649069626e-10,1.2385960809718057e-09,3.4140717153430023e-09,5.581548237650785e-09,7.515882436347615e-09,1.9467302368240876e-08,2.272937296625283e-08,0.0,3.8882546121395184e-10,1.8952105189974434e-09,5.2534276291501605e-09,8.621498322034808e-09,1.1641405938676259e-08,3.0510592563114984e-08,3.5709919757249636e-08,0.0,5.054086031508116e-10,2.4786264001636447e-09,6.920076452140222e-09,1.14126622854216e-08,1.546520800465215e-08,4.1156613857844974e-08,4.83240530952073e-08,22.015725518227306
0.0,9.076195148779995e-11,4.2556964637442685e-10,1.1288008280033953e-09,1.798883306524322e-09,2.3787015276144658e-09,5.717854315959289e-09,6.577101351484396e-09,0.0,3.6943821795530713e-10,1.791147460078769e-09,4.933755372094974e-09,8.062218438926597e-09,1.0852558217078778e-08,2.8070456815562992e-08,3.276503623761047e-08,0.0,5.671143722007113e-10,2.7629501768158264e-09,7.654279534112014e-09,1.2556519621229483e-08,1.694984104573556e-08,4.437002020933163e-08,5.191927775109163e-08,0.0,7.409365185179113e-10,3.6324422610988346e-09,1.0136936297627158e-08,1.6712760754507623e-08,2.2642263526725062e-08,6.020131095703383e-08,7.067273392202738e-08,23.016440314510366
0.0,1.2668527052055725e-10,5.93360838866175e-10,1.5718435601967035e-09,2.5027943349993298e-09,3.3074956524141137e-09,7.931031696586054e-09,9.118487259035602e-09,0.0,5.235008577620567e-10,2.53678291407745e-09,6.983189113295384e-09,1.140611226322229e-08,1.5348795250070395e-08,3.9646290647644564e-08,4.626421599526249e-08,0.0,8.097456834563859e-10,3.9433600801791155e-09,1.0918424465549612e-08,1.79043237639659e-08,2.4162058162082584e-08,6.317443265894491e-08,7.390526668268372e-08,0.0,1.0631503560349146e-09,5.210417635899219e-09,1.4534395106595849e-08,2.3955581806344514e-08,3.2447562921182866e-08,8.619059159108796e-08,1.011633913844813e-07,24.017155110793425
0.0,1.7369823610767965e-10,8.127497509802216e-10,2.150468064798647e-09,3.4214184092410507e-09,4.5189331418994906e-09,1.0811086265968596e-08,1.2424123221398516e-08,0.0,7.279289196049762e-10,3.5257422713134406e-09,9.699812455658545e-09,1.5836673173134282e-08,2.13042329775715e-08,5.4956415844850225e-08,6.411256179199196e-08,0.0,1.134129205248202e-09,5.5209031688644106e-09,1.5278443262822417e-08,2.504473307434647e-08,3.378888025126494e-08,8.824058896729509e-08,1.032041396314218e-07,0.0,1.4960943864288111e-09,7.3300464732489575e-09,2.0438737190810352e-08,3.367699393837827e-08,4.560503892645371e-08,1.2102382022560502e-07,1.4201870371279625e-07,25.017869907076484
0.0,2.3433705709935327e-10,1.0954778484922799e-09,2.895392390715527e-09,4.603218408999178e-09,6.076630124806261e-09,1.4506267368265365e-08,1.666347486648233e-08,0.0,9.949734198645627e-10,4.817101111246382e-09,1.3245128632935113e-08,2.161631989814727e-08,2.9070589921003283e-08,7.489280461179894e-08,8.734679997305505e-08,0.0,1.5608933007648416e-09,7.595656131843112e-09,2.100965302381686e-08,3.442711151303935e-08,4.643458070276514e-08,1.211219523647258e-07,1.4162628922954129e-07,0.0,2.0684154654685368e-09,1.0131246417881541e-08,2.8238281529086602e-08,4.65144973192591e-08,6.297538158391372e-08,1.669530291736049e-07,1.9587324678354697e-07,26.018584703359544
0.0,3.115284533826293e-10,1.455098853913682e-09,3.8420149127410625e-09,6.104005723427342e-09,8.053812155180152e-09,1.9186820917604196e-08,2.2031019106497413e-08,0.0,1.3388905458392454e-09,6.479582225385305e-09,1.7806899686376247e-08,2.9049966366518423e-08,3.9056462874633666e-08,1.0048889971512636e-07,1.171673939075448e-07,0.0,2.1142040798632273e-09,1.0284685063742033e-08,2.8434288379963728e-08,4.657710590540421e-08,6.28056889494887e-08,1.6363038396070525e-07,1.912822808892556e-07,0.0,2.8138363730766222e-09,1.3778698692150136e-08,3.838979619856271e-08,6.32174213806123e-08,8.557005197167442e-08,2.2661682625435375e-07,2.6581320824734703e-07,27.019299499642603
0.0,4.0862224424994096e-10,1.907123042005883e-09,5.030793151859075e-09,7.987529650862936e-09,1.0534075201306609e-08,2.5046608179074584e-08,2.8748111156048267e-08,0.0,1.7761106678309067e-09,8.592366451792924e-09,2.3601325179164536e-08,3.848850859616397e-08,5.173158611444297e-08,1.3293047122004733e-07,1.5495093788886063e-07,0.0,2.822083877427561e-09,1.3723885418604972e-08,3.792566263625564e-08,6.210352028514589e-08,8.371975014423442e-08,2.1785737977478103e-07,2.5460683104560253e-07,0.0,3.771642585717518e-09,1.846419018940244e-08,5.142486158555829e-08,8.465735977582323e-08,1.1456491687465326e-07,3.030774212964259e-07,3.554144227543336e-07,28.020014295925662
0.0,5.29423812475798e-10,2.469149698488771e-09,6.507635332888594e-09,1.0326068677844548e-08,1.3612151705971925e-08,3.230478181898747e-08,3.7064844458020954e-08,0.0,2.3254059045299774e-09,1.1245895411857929e-08,3.0875195037276454e-08,5.0332260571312355e-08,6.763158047864079e-08,1.7356614955291626e-07,2.022621607918889e-07,0.0,3.7167273767645994e-09,1.806923694061806e-08,4.9912281142588485e-08,8.170411866273501e-08,1.1011415375668619e-07,2.861946765532599e-07,3.3438276097443693e-07,0.0,4.987162467331196e-09,2.4408941896468114e-08,6.79562250559379e-08,1.1183841607367855e-07,1.5131281113752409e-07,3.9984859569799063e-07,4.6878026252867677e-07,29.02072909220872
